customer_key,customer_name,industry,segment,region_key,signup_year
1,Cobalt Corp,Retail,SMB,9,2023
2,Apex Solutions,Education,Enterprise,5,2022
3,Pioneer Corp,Technology,SMB,3,2025
4,Meridian Corp,Technology,SMB,3,2023
5,Nova Industries,Education,SMB,10,2023
6,Anchor Corp,Hospitality,Mid-Market,9,2019
7,Anchor Group,Technology,Mid-Market,2,2020
8,Prime Corp,Energy,SMB,10,2025
9,Apex Industries,Healthcare,SMB,9,2023
10,Vertex Systems,Hospitality,Mid-Market,3,2020
11,Apex Solutions,Financial Services,SMB,9,2022
12,Pioneer Systems,Energy,Enterprise,6,2020
13,Orbit Corp,Hospitality,SMB,2,2023
14,Global Corp,Manufacturing,Mid-Market,4,2019
15,Prime Systems,Financial Services,Mid-Market,6,2022
16,Meridian Industries,Hospitality,SMB,4,2020
17,Apex Holdings,Financial Services,Enterprise,8,2024
18,Orbit Holdings,Logistics,Mid-Market,7,2024
19,Sterling Solutions,Retail,Enterprise,1,2024
20,Apex Partners,Retail,Mid-Market,6,2020
21,Pioneer Industries,Logistics,Enterprise,9,2022
22,Cobalt Corp,Energy,SMB,4,2025
23,Prime Corp,Public Sector,SMB,9,2019
24,Summit Holdings,Energy,Mid-Market,4,2025
25,Anchor Corp,Healthcare,Mid-Market,7,2022
26,Anchor Partners,Energy,Mid-Market,5,2024
27,Sterling Solutions,Energy,Enterprise,9,2021
28,Global Systems,Public Sector,Enterprise,4,2021
29,Global Systems,Energy,Mid-Market,1,2025
30,Summit Corp,Public Sector,Enterprise,9,2020
31,Crest Corp,Financial Services,Mid-Market,2,2023
32,Crest Systems,Manufacturing,SMB,4,2022
33,Crest Systems,Education,SMB,10,2020
34,Nova Group,Logistics,Enterprise,6,2024
35,Pioneer Group,Retail,Enterprise,5,2023
36,Prime Corp,Public Sector,Mid-Market,10,2021
37,Anchor Group,Retail,SMB,3,2021
38,Summit Holdings,Public Sector,SMB,5,2023
39,Global Solutions,Public Sector,Mid-Market,9,2024
40,Anchor Industries,Technology,Enterprise,2,2019
41,Summit Group,Technology,SMB,9,2024
42,Nova Solutions,Technology,Mid-Market,6,2021
43,Prime Solutions,Logistics,SMB,1,2019
44,Orbit Partners,Healthcare,SMB,1,2021
45,Horizon Holdings,Public Sector,SMB,3,2023
46,Prime Corp,Healthcare,Mid-Market,1,2025
47,Crest Systems,Healthcare,Mid-Market,6,2019
48,Orbit Partners,Manufacturing,SMB,5,2020
